Subject ID,Group,Day,Start time,End time,Capacity,Teaching facility
IC0264,61,1,16,18,19,B1
IC0264,63,4,16,18,19,B1
ID0267,1,3,10,12,17,B1
OG0263,3,2,6,9,20,B1
OG0347,36,2,18,21,20,B1
ST0275,32,1,10,12,15,B1
GP0025,2,4,16,18,20,B1
GP0025,2,2,16,18,20,B1
IC0711,61,5,18,21,12,B1
BI0242,154,2,12,14,30,B1
CS0091,1,1,9,12,30,B1
CT0245,82,3,9,11,27,B1
DF0236,3,2,15,18,15,B1
DF0236,4,2,15,18,15,B1
ID0246,161,4,13,15,22,B1
IP0247,64,2,6,8,6,B1
IP0287,160,3,15,17,25,B1
ME0244,2,1,15,18,30,B1
NI0276,14,4,15,18,30,B1
OG0285,1,3,12,15,14,B1
OG0123,1,5,12,13.5,31,B1
OG0123,2,5,13.5,15,31,B1
OG0123,3,5,15,16.5,31,B1
OG0260,9,3,6,9,30,B1
BI0242,154,4,12,14,30,B1
FI0140,1,2,9,12,25,B1
HL0552,1,1,9,12,30,B1
HL0551,1,5,9,12,30,B1
IM0243,71,1,7,9,25,B1
IM0240,71,2,15,18,32,B1
IM0241,71,4,9,12,31,B1
IM0243,72,1,15,17,25,B1
IM0233,73,3,15,18,26,B1
ME0230,2,3,6,9,30,B1
OG0262,1,2,12,15,30,B1
OG0133,90,2,6,9,28,B1
ST0250,32,3,10,12,30,B1
IM0245,74,4,15,18,8,B1
IM0245,75,4,15,18,7,B1
IM0245,77,4,15,18,8,B1
IP0247,59,4,9,12,6,B1
IP0247,60,4,9,12,6,B1
IP0247,62,4,9,12,6,B1
IP0247,63,4,9,12,6,B1
IP0247,64,4,9,12,6,B1
OG0126,3,1,15,18,31,B1
OG0133,89,3,6,9,28,B1
PS0325,2,3,15,18,20,B1
ST0250,32,5,10,12,30,B1
CO0217,54,2,18,21,24,B1
DE0142,200,4,9,12,27,B1
FI0139,10,3,18,21,30,B1
FI0116,31,4,18,21,28,B1
HL0317,2,2,9,12,30,B1
ME0235,2,3,9,12,26,B1
ME0159,5,1,18,21,30,B1
CM0440,1,4,13.5,15,30,B7
CM0440,1,2,13.5,15,30,B7
CM0470,153,3,13.5,15,19,B7
DF0447,1,3,9,12,18,B7
DF0039,1,4,9,12,16,B7
DF0238,3,2,9,12,27,B7
GP0023,2,2,6,9,22,B7
