Student ID,Subject ID,Group ID
0,ME0234,1
0,OG0278,1
1,ID0262,90
1,IP0663,2
1,ME0212,7
1,CS0067,4
1,IP0282,1
1,IP0680,53
1,ID0261,83
1,IP0680,53
2,NI0278,1
2,NI0238,1
2,FI0224,1
2,NI0247,6
2,NI0276,2
3,PT0305,1
3,CS0220,3
3,PT0999,1
4,BI0482,1
4,PT0309,1
5,DE0226,2
5,DE0084,16
5,ME0234,1
5,ME0235,3
6,CO0149,1
6,CO0146,1
6,CO0126,1
6,CO0125,1
7,DF0125,1
7,DF0281,1
7,DF0291,1
7,DF0735,1
7,DF0280,1
7,PT1000,1
8,IP0682,51
8,IP0682,51
8,ID0283,1
9,NI0267,1
9,OG0127,1
9,CT0310,1
10,EC0243,2
10,EC0103,10
10,FI0139,6
10,OG0135,3
11,DE0143,1
11,DE0152,2
11,DE0137,2
11,DE0141,2
12,ME0249,1
12,ME0248,1
12,OG0281,2
12,ME0246,1
12,PT0308,1
13,PT0300,1
13,DE0652,255
13,DE0679,1
13,DE0652,255
14,PS0320,1
14,PS0337,1
14,PS0313,1
14,PS0315,1
14,PS0316,1
14,PS0314,1
15,FI0140,7
15,NI0247,1
15,OG0261,4
15,FI0139,6
15,OG0131,1
16,DE0139,1
16,DE0145,3
16,DE0141,1
16,DE0152,2
17,ID0240,49
17,ID0243,54
17,IM0230,5
17,HL0591,13
18,OG0064,2
18,OG0352,1
18,OG0273,1
18,PT0999,1
19,FI0155,1
19,EC0235,8
19,OG0137,5
20,CT0245,3
20,CT0650,81
21,DE0155,1
21,DE0144,1
21,DE0147,3
21,MU0401,20
22,ST0242,5
22,CM0260,2
22,ST0242,5
22,CM0075,1
23,PS0327,1
23,PS0314,1
24,IP0253,2
24,IP0257,1
24,OG0262,4
24,IP0244,2
24,IP0244,2
25,PT0020,1
25,OG0351,1
25,ME0241,1
25,OG0125,3
25,ME0247,1
25,PS0303,1
26,DF0239,7
26,IP0281,1
26,IM0235,4
26,DF0239,7
26,IM0235,4
26,ST0241,2
27,PT0305,1
27,CS0219,2
27,CS0223,1
27,CS0220,3
28,CM0235,3
28,BU0220,25
28,IC0267,4
28,BU0220,25
28,IC0286,1
28,IC0270,3
29,PT0113,7
29,EC0314,1
29,EC0301,1
29,EC0306,1
29,EC0310,1
30,OG0137,4
30,OG0127,6
30,OG1124,83
30,OG1124,83
30,ME0070,3
30,NI0257,2
31,NI0221,2
31,NI0255,1
31,NI0278,2
32,DF0121,1
32,DF0291,1
32,PT1000,1
33,CM0218,4
33,OG0122,7
33,OG0123,6
34,FI0161,1
34,DE0160,1
35,PT0310,1
35,DE0160,1
36,ST0275,1
36,ST0250,2
36,ST0249,2
36,ST0249,2
36,OG0205,2
36,ST0251,2
37,ME0249,1
37,ME0244,1
38,OG0282,2
38,CM0218,3
38,ME0171,1
38,OG0591,23
38,OG0128,6
39,CM0055,1
39,CM0091,1
39,CM0092,1
40,OG0279,1
40,BU0009,8
40,ME0104,2
41,CS0230,1
41,CS0092,1
42,BU0600,1
42,OG0260,7
42,CM0211,7
42,DE0119,6
42,ME0104,3
42,HL0591,16
42,ME0104,3
43,PT0305,1
43,CS0256,1
43,EC0009,1
43,CS0253,1
44,CO0128,1
44,CO0222,1
44,CO0150,1
44,CO0127,1
45,OG0347,20
45,NI0287,1
45,FI0131,2
45,FI0224,4
46,OG0279,1
46,BU0009,1
46,OG0260,4
46,DE0119,6
46,ME0104,2
47,OG0125,8
47,OG0355,1
47,OG0284,3
47,OG0131,5
47,OG0135,8
48,NI0267,1
48,EC0103,7
48,OG0347,8
48,NI0286,2
48,DE0215,1
49,DE0155,1
49,DE0137,1
49,DE0134,2
49,DE0127,3
50,EC0266,1
50,DE0125,1
50,EC0159,2
50,CM0028,1
51,MU0474,183
51,MU0484,183
51,MU0758,184
51,HL0552,2
51,MU0677,183
51,MU0727,184
52,PT0113,6
52,EC0311,1
53,DE0012,2
53,BU0600,20
53,DE0013,1
53,BU0157,2
53,BU0180,4
54,DE0156,1
54,DE0151,1
54,DE0055,1
54,DE0147,1
55,CS0213,1
55,CS0218,2
55,CS0211,2
55,ID0256,3
56,CS0224,1
56,PT0308,1
57,ID0231,1
57,ID0616,202
58,CM0232,4
58,IP0662,2
58,ID0618,202
58,ID0616,202
58,ID0283,1
59,ME0244,2
59,PT0308,1
60,MU0663,183
60,MU0643,185
60,MU0436,184
60,MU0644,184
60,MU0614,183
60,MU0431,183
61,PT0131,1
61,CM0245,3
