Subject;Group;Day;Start time;End time;Capacity;Building;Room
BI0265;62619;6;11.5;12;10;B13;103
BI0265;62619;6;11;11.5;10;B13;103
BI0265;62619;6;10.5;11;10;B13;103
BI0265;62619;6;10;10.5;10;B13;103
BI0265;62618;2;7.5;8;10;B13;103
BI0265;62618;2;7;7.5;10;B13;103
BI0265;62618;2;6.5;7;10;B13;103
BI0265;62618;2;6;6.5;10;B13;103
BI0265;62616;6;8.5;9;10;B13;103
BI0265;62616;6;8;8.5;10;B13;103
BI0265;62616;6;7.5;8;10;B13;103
BI0265;62616;6;7;7.5;10;B13;103
BI0265;62615;4;7.5;8;10;B13;103
BI0265;62615;4;7;7.5;10;B13;103
BI0265;62615;4;6.5;7;10;B13;103
BI0265;62615;4;6;6.5;10;B13;103
BI0265;62625;1;7.5;8;10;B13;103
BI0265;62625;1;7;7.5;10;B13;103
BI0265;62625;1;6.5;7;10;B13;103
BI0265;62625;1;6;6.5;10;B13;103
BI0265;62624;2;16.5;17;10;B13;103
BI0265;62624;2;16;16.5;10;B13;103
BI0265;62624;2;15.5;16;10;B13;103
BI0265;62624;2;15;15.5;10;B13;103
BI0265;62622;5;15.5;16;10;B13;103
BI0265;62622;5;15;15.5;10;B13;103
BI0265;62622;5;14.5;15;10;B13;103
BI0265;62622;5;14;14.5;10;B13;103
BI0265;62621;6;14.5;15;10;B13;103
BI0265;62621;6;14;14.5;10;B13;103
BI0265;62621;6;13.5;14;10;B13;103
BI0265;62621;6;13;13.5;10;B13;103
BI0265;62618;2;7.5;8;10;B13;103
BI0265;62618;2;7;7.5;10;B13;103
BI0265;62618;2;6.5;7;10;B13;103
BI0265;62618;2;6;6.5;10;B13;103
BI0232;62603;5;9.5;10;10;B13;103
BI0232;62603;5;9;9.5;10;B13;103
BI0232;62603;5;8.5;9;10;B13;103
BI0232;62603;5;8;8.5;10;B13;103
BI0232;62602;2;10.5;11;10;B13;103
BI0232;62602;2;10;10.5;10;B13;103
BI0232;62602;2;9.5;10;10;B13;103
BI0232;62602;2;9;9.5;10;B13;103
BI0232;62600;3;9.5;10;10;B13;103
BI0232;62600;3;9;9.5;10;B13;103
BI0232;62600;3;8.5;9;10;B13;103
BI0232;62600;3;8;8.5;10;B13;103
BI0232;62599;1;12.5;13;10;B13;103
BI0232;62599;1;12;12.5;10;B13;103
BI0232;62599;1;11.5;12;10;B13;103
BI0232;62599;1;11;11.5;10;B13;103
BI0232;62606;5;12.5;13;10;B13;103
BI0232;62606;5;12;12.5;10;B13;103
BI0232;62606;5;11.5;12;10;B13;103
BI0232;62606;5;11;11.5;10;B13;103
BI0232;62605;4;16.5;17;10;B13;103
BI0232;62605;4;16;16.5;10;B13;103
BI0232;62605;4;15.5;16;10;B13;103
BI0232;62605;4;15;15.5;10;B13;103
BI0232;62603;5;9.5;10;10;B13;103
BI0232;62603;5;9;9.5;10;B13;103
BI0232;62603;5;8.5;9;10;B13;103
BI0232;62603;5;8;8.5;10;B13;103
BI0232;62602;2;10.5;11;10;B13;103
BI0232;62602;2;10;10.5;10;B13;103
BI0232;62602;2;9.5;10;10;B13;103
BI0232;62602;2;9;9.5;10;B13;103
BI0507;62701;3;16.5;17;10;B13;103
BI0507;62701;3;16;16.5;10;B13;103
BI0507;62701;3;15.5;16;10;B13;103
BI0507;62701;3;15;15.5;10;B13;103
BI0507;62699;1;16.5;17;10;B13;103
BI0507;62699;1;16;16.5;10;B13;103
BI0507;62699;1;15.5;16;10;B13;103
BI0507;62699;1;15;15.5;10;B13;103
BI0474;62651;2;13.5;14;10;B13;103
BI0474;62651;2;13;13.5;10;B13;103
BI0474;62651;2;12.5;13;10;B13;103
BI0474;62651;2;12;12.5;10;B13;103
BI0231;62597;3;12.5;13;10;B13;103
BI0231;62597;3;12;12.5;10;B13;103
BI0231;62597;3;11.5;12;10;B13;103
BI0231;62597;3;11;11.5;10;B13;103
BI0231;62596;4;13.5;14;10;B13;103
BI0231;62596;4;13;13.5;10;B13;103
BI0231;62596;4;12.5;13;10;B13;103
BI0231;62596;4;12;12.5;10;B13;103
BI0045;62585;4;11.5;12;10;B13;104
BI0045;62585;4;11;11.5;10;B13;104
BI0045;62585;4;10.5;11;10;B13;104
BI0045;62585;4;10;10.5;10;B13;104
BI0230;62591;2;15;15.5;10;B13;104
BI0230;62591;2;14.5;15;10;B13;104
BI0230;62591;2;14;14.5;10;B13;104
BI0230;62591;2;13.5;14;10;B13;104
BI0230;62590;1;9.5;10;10;B13;104
BI0230;62590;1;9;9.5;10;B13;104
BI0230;62590;1;8.5;9;10;B13;104
BI0230;62590;1;8;8.5;10;B13;104
BI0230;62588;3;17.5;18;10;B13;104
BI0230;62588;3;17;17.5;10;B13;104
BI0230;62588;3;16.5;17;10;B13;104
BI0230;62588;3;16;16.5;10;B13;104
BI0230;62587;2;9.5;10;10;B13;104
BI0230;62587;2;9;9.5;10;B13;104
BI0230;62587;2;8.5;9;10;B13;104
BI0230;62587;2;8;8.5;10;B13;104
BI0235;62611;4;20.5;21;10;B13;104
BI0235;62611;4;20;20.5;10;B13;104
BI0235;62611;4;19.5;20;10;B13;104
BI0235;62611;4;19;19.5;10;B13;104
BI0235;62611;4;18.5;19;10;B13;104
BI0235;62611;4;18;18.5;10;B13;104
BI0233;62609;2;19.5;20;10;B13;104
BI0233;62609;2;19;19.5;10;B13;104
BI0233;62609;2;18.5;19;10;B13;104
BI0233;62609;2;18;18.5;10;B13;104
BI0233;62608;1;14.5;15;10;B13;104
BI0233;62608;1;14;14.5;10;B13;104
BI0233;62608;1;13.5;14;10;B13;104
BI0233;62608;1;13;13.5;10;B13;104
BI0230;62588;3;17.5;18;10;B13;104
BI0230;62588;3;17;17.5;10;B13;104
BI0230;62588;3;16.5;17;10;B13;104
BI0230;62588;3;16;16.5;10;B13;104
BI0230;62587;2;9.5;10;10;B13;104
BI0230;62587;2;9;9.5;10;B13;104
BI0230;62587;2;8.5;9;10;B13;104
BI0230;62587;2;8;8.5;10;B13;104
BI0230;62594;5;18.5;19;10;B13;104
BI0230;62594;5;18;18.5;10;B13;104
BI0230;62594;5;17.5;18;10;B13;104
BI0230;62594;5;17;17.5;10;B13;104
BI0230;62593;6;14.5;15;10;B13;104
BI0230;62593;6;14;14.5;10;B13;104
BI0230;62593;6;13.5;14;10;B13;104
BI0230;62593;6;13;13.5;10;B13;104
BI0230;62591;2;15;15.5;10;B13;104
BI0230;62591;2;14.5;15;10;B13;104
BI0230;62591;2;14;14.5;10;B13;104
BI0230;62591;2;13.5;14;10;B13;104
BI0230;62590;1;9.5;10;10;B13;104
BI0230;62590;1;9;9.5;10;B13;104
BI0230;62590;1;8.5;9;10;B13;104
BI0230;62590;1;8;8.5;10;B13;104
BI0512;62708;1;11.5;12;10;B13;104
