Punto inicial;Punto final;Distancia
LIM;GPP;1
LIM;G4S;1
LIM;GPA;1
LIM;GAG;1
LIM;GP19;1
LIM;GCID;1
LIM;GCI2;1
GPP;LIM;1
G4S;LIM;1
GPA;LIM;1
GAG;LIM;1
GP19;LIM;1
GCID;LIM;1
GCI2;LIM;1
LIM;GVAG;1
LIM;GVAV;1
LIM;GVAR;1
LIM;GV48;1
LIM;GVV4;1
LIM;GVPR;1
LIM;GVCI;1
GVAG;LIM;1
GVAV;LIM;1
GVAR;LIM;1
GV48;LIM;1
GVV4;LIM;1
GVPR;LIM;1
GVCI;LIM;1
GAG;B19;63
B19;GAG;63
GVAG;B19;69
B19;GVAG;69
B19;FSUB;66
FSUB;B19;66
GP19;FSUB;89
FSUB;GP19;89
GVAV;FSUB;89
FSUB;GVAV;89
GP19;B13;88
B13;GP19;88
GVAV;B13;97
B13;GVAV;97
B13;FSUB;26
FSUB;B13;26
B13;B19;88
B19;B13;88
B13;B14;24
B14;B13;24
B14;B15;22
B15;B14;22
B15;B16;26
B16;B15;26
B16;B23;39
B23;B16;39
B16;ZEE;20
ZEE;B16;20
B16;FCP;41
FCP;B16;41
B16;B17;25
B17;B16;25
ZEE;B17;15
B17;ZEE;15
ZEE;FCP;40
FCP;ZEE;40
B17;FCP;26
FCP;B17;26
B17;B18;48
B18;B17;48
FCP;ZGYM;55
ZGYM;FCP;55
FCP;B7;33
B7;FCP;33
FCP;ZSCF;24
ZSCF;FCP;24
FCP;B18;55
B18;FCP;55
FCP;B3;66
B3;FCP;66
FCP;ZPCU;68
ZPCU;FCP;68
FCP;GVPR;70
GVPR;FCP;70
ZSCF;B18;30
B18;ZSCF;30
B18;ZCAR;58
ZCAR;B18;58
B18;B3;40
B3;B18;40
GVAR;B18;63
B18;GVAR;63
GPA;B18;68
B18;GPA;68
B18;B26;37
B26;B18;37
B18;ZJCO;43
ZJCO;B18;43
GVAR;ZCAR;23
ZCAR;GVAR;23
GPA;ZCAR;23
ZCAR;GPA;23
ZCAR;ZTAR;22
ZTAR;ZCAR;22
ZGYM;B7;40
B7;ZGYM;40
B7;GVPR;50
GVPR;B7;50
B7;ZPCU;40
ZPCU;B7;40
B7;B3;78
B3;B7;78
ZPCU;GVPR;62
GVPR;ZPCU;62
ZPCU;ZPLC;60
ZPLC;ZPCU;60
ZPCU;B3;56
B3;ZPCU;56
ZPCU;FDOG;55
FDOG;ZPCU;55
ZPLC;FDOG;39
FDOG;ZPLC;39
B3;ZJCO;24
ZJCO;B3;24
B3;FDOG;52
FDOG;B3;52
B3;B26;35
B26;B3;35
B3;ZT29;65
ZT29;B3;65
B3;Z291;53
Z291;B3;53
B3;B28;55
B28;B3;55
B3;B27;69
B27;B3;69
ZJCO;B26;15
B26;ZJCO;15
ZJCO;ZT29;58
ZT29;ZJCO;58
ZJCO;Z291;57
Z291;ZJCO;57
ZJCO;B28;37
B28;ZJCO;37
ZJCO;B27;49
B27;ZJCO;49
B26;GVAR;58
GVAR;B26;58
B26;GPA;68
GPA;B26;68
B26;ZT29;70
ZT29;B26;70
B26;Z291;52
Z291;B26;52
B26;B28;40
B28;B26;40
B26;B27;44
B27;B26;44
ZJEF;GPP;51
GPP;ZJEF;51
ZJEF;ZPLA;71
ZPLA;ZJEF;71
ZPLA;FDOG;47
FDOG;ZPLA;47
ZPLA;ZBIB;44
ZBIB;ZPLA;44
ZPLA;ZT29;39
ZT29;ZPLA;39
ZPLA;ZPIM;40
ZPIM;ZPLA;40
ZPLA;B33;60
B33;ZPLA;60
ZT29;Z291;26
Z291;ZT29;26
ZT29;B29;12
B29;ZT29;12
ZT29;ZPIM;45
ZPIM;ZT29;45
ZT29;FDOG;28
FDOG;ZT29;28
Z291;B29;15
B29;Z291;15
Z291;B28;24
B28;Z291;24
